"","GEOID20","Year","wf_pm","wf_pm_mod","Count","deaths_base","deaths_mod","deaths_base_LCL","deaths_mod_LCL","deaths_base_UCL","deaths_mod_UCL"
"1703","90744",2016,0.919810891151428,0.919810891151428,254,4.10167570155544,4.10167570155544,0.355302066440031,0.355302066440031,7.79284748720423,7.79284748720423
"1704","90744",2017,1.56357860565186,1.56357860565186,286.5,7.82002637404778,7.82002637404778,0.680921645508712,0.680921645508712,14.7810616000922,14.7810616000922
"1705","90744",2018,1.72850775718689,1.72850775718689,273.5,8.24065490539245,8.24065490539245,0.718500339281532,0.718500339281532,15.5556416745321,15.5556416745321
"1706","90745",2008,1.25909495353699,1.25909495353699,354.5,7.81275077068638,7.81275077068638,0.67862226110327,0.67862226110327,14.8032839069804,14.8032839069804
"1707","90745",2009,0.357799679040909,0.357799679040909,335.5,2.11795867168148,2.11795867168148,0.182634842524495,0.182634842524495,4.04218204396448,4.04218204396448
"1708","90745",2010,0.268467605113983,0.268467605113983,361.5,1.71367405189956,1.71367405189956,0.14766612290992,0.14766612290992,3.27295166011614,3.27295166011614
"1709","90745",2011,0.221795454621315,0.221795454621315,354.5,1.38891657577832,1.38891657577832,0.119636854405908,0.119636854405908,2.65369586174863,2.65369586174863
"1710","90745",2012,0.276569783687592,0.276569783687592,362.5,1.77014831767403,1.77014831767403,0.152542459932198,0.152542459932198,3.38059099486905,3.38059099486905
"1711","90745",2013,0.565636336803436,0.565636336803436,416,4.14398270065515,4.14398270065515,0.357942379267858,0.357942379267858,7.8956716387717,7.8956716387717
"1712","90745",2014,0.280127435922623,0.280127435922623,402.5,1.99069526902871,1.99069526902871,0.171553016906612,0.171553016906612,3.80167765026483,3.80167765026483
"1713","90745",2015,0.33555606007576,0.33555606007576,425.5,2.5196201012165,2.5196201012165,0.217231681703366,0.217231681703366,4.8096266092072,4.8096266092072
"1714","90745",2016,1.12570703029633,1.12570703029633,412.5,8.13747067629848,8.13747067629848,0.706068402790902,0.706068402790902,15.4350247313753,15.4350247313753
"1715","90745",2017,1.56688165664673,1.56688165664673,391,10.6945912296225,10.6945912296225,0.931246507354777,0.931246507354777,20.2139017763598,20.2139017763598
"1716","90745",2018,2.00377535820007,2.00377535820007,411.5,14.3383705520266,14.3383705520266,1.25292842499557,1.25292842499557,27.0068844430043,27.0068844430043
"1717","90746",2008,1.26217973232269,1.26217973232269,208.5,4.60622021697978,4.60622021697978,0.400110198575611,0.400110198575611,8.7274641916969,8.7274641916969
"1718","90746",2009,0.358997166156769,0.358997166156769,216,1.36812312642577,1.36812312642577,0.117976508508757,0.117976508508757,2.61107518576551,2.61107518576551
"1719","90746",2010,0.275302171707153,0.275302171707153,219,1.06452419284179,1.06452419284179,0.0917343896460171,0.0917343896460171,2.03302609026355,2.03302609026355
"1720","90746",2011,0.222324922680855,0.222324922680855,200,0.785458767490854,0.785458767490854,0.0676572085117844,0.0676572085117844,1.50070911896363,1.50070911896363
"1721","90746",2012,0.277061581611633,0.277061581611633,228.5,1.11778310374388,1.11778310374388,0.0963252967610626,0.0963252967610626,2.13470953824602,2.13470953824602
"1722","90746",2013,0.567472040653229,0.567472040653229,206,2.05869470570906,2.05869470570906,0.177825308760499,0.177825308760499,3.92244330687984,3.92244330687984
"1723","90746",2014,0.28135746717453,0.28135746717453,247.3328,1.22862313770326,1.22862313770326,0.105880646027701,0.105880646027701,2.34630725972137,2.34630725972137
"1724","90746",2015,0.335773855447769,0.335773855447769,242,1.43394277687365,1.43394277687365,0.123629093494383,0.123629093494383,2.73720519099102,2.73720519099102
"1725","90746",2016,1.13595342636108,1.13595342636108,240,4.77719119769612,4.77719119769612,0.414539412969086,0.414539412969086,9.0605564467925,9.0605564467925
"1726","90746",2017,1.56704592704773,1.56704592704773,258,7.05751871251915,7.05751871251915,0.61454413727554,0.61454413727554,13.3394348567164,13.3394348567164
"1727","90746",2018,2.01747393608093,2.01747393608093,256.1312,8.98460542675948,8.98460542675948,0.785187330698956,0.785187330698956,16.9210147247916,16.9210147247916
"1728","90747",2008,1.2621796131134,1.2621796131134,0,0,0,0,0,0,0
"1729","90747",2009,0.358997136354446,0.358997136354446,5.37768,0.0340617026189053,0.0340617026189053,0.00293722156307086,0.00293722156307086,0.0650070631777652,0.0650070631777652
"1730","90747",2010,0.275302141904831,0.275302141904831,0,0,0,0,0,0,0
"1731","90747",2011,0.222324937582016,0.222324937582016,5.37768,0.0211197309365515,0.0211197309365515,0.00181919420725716,0.00181919420725716,0.0403516697687099,0.0403516697687099
"1732","90747",2012,0.277061581611633,0.277061581611633,0,0,0,0,0,0,0
"1733","90747",2013,0.567472040653229,0.567472040653229,5.37768,0.0537427249757161,0.0537427249757161,0.00464217284667553,0.00464217284667553,0.102396334575445,0.102396334575445
"1734","90747",2014,0.28135746717453,0.28135746717453,5.37768,0.0267135700366635,0.0267135700366635,0.00230212989352907,0.00230212989352907,0.0510150276245545,0.0510150276245545
"1735","90747",2015,0.335773855447769,0.335773855447769,0,0,0,0,0,0,0
"1736","90747",2016,1.13595342636108,1.13595342636108,0,0,0,0,0,0,0
