Block group,Median_hh_income,age_perc,race_eth
60014099001,127500,31.77777778,65.9400545
60014099002,169786,21.08655617,76.85325265
60014099003,164457,42.56993007,73.15329627
60014099004,106875,15.1384083,71.30044843
60014100001,141726,39.13043478,49.15789474
60014100002,109531,41.2394115,77.34109656
60014100003,130595,#DIV/0!,85
60014101001,80865,24.96263079,89.59409594
60014101002,75259,22.35089751,89.23566879
60014102001,59375,15.54476058,94.57111835
60014102002,65246,29.95867769,95.64755839
60014102003,85227,10.51428571,92.06703911
60014103001,52727,9.05027933,97.56335283
60014103002,58750,11.37096774,98.33992095
60014103003,53000,15.72897762,98.45272206
60014104001,79875,13.51111111,96.59201558
60014104002,106050,21.28440367,91.79440938
60014104003,76518,17.89077213,93.96809571
60014105001,54327,13.15513627,77.64705882
60014105002,22560,24.33862434,88.26118855
60014201001,138542,13.61141603,51.28998968
60014201002,215118,23.0964467,39.25925926
60014201003,143000,25.54455446,42.31354642
60014202001,140066,15.08791832,69.39655172
60014202002,88750,32.65651438,50.70422535
60014202003,106979,22.0412595,64.75023563
60014203011,106905,20.80586081,68.14500578
60014203021,83500,21.92028986,56.45472062
60014203022,102344,24.85065711,60.29919448
60014204011,76429,15.37037037,65.51724138
60014204012,62396,29.3220339,55.04587156
60014204021,90560,16.59919028,66.83316683
60014204022,53300,14.02985075,68.02426343
60014205001,137717,20.2173913,53.37142857
60014205002,108214,13.18754142,55.65552699
60014206001,225250,17.86372007,32.19557196
60014206002,205125,26.2199563,32.9197684
60014206003,102038,20.30965392,47.46835443
60014211001,187969,30.13530135,26.85714286
60014211002,229167,33.70429253,32.68219384
60014212001,250000,45.37157757,31.6970547
60014212002,250000,34.89889106,23.28977709
60014212003,240234,49.5049505,32.19512195
60014212004,213750,32.14837713,26.00243013
60014213001,172250,31.9844358,24.22464376
60014213002,99750,34.54367026,30.60263653
60014213003,159375,30.34188034,32.52480706
60014213004,142109,44.33285509,32.43933589
60014214001,217586,42.85714286,23.97191575
60014214002,158750,36.2369338,27.12609971
60014215001,206250,36.27781524,26.73559823
60014215002,200909,25.44333076,28.68988391
60014215003,157625,33.24561404,27.17299578
60014216001,250000,31.08504399,28.51282051
60014216002,200908,21.73913043,27.16262976
60014216003,143281,35.33083645,27.19812427
60014216004,171607,43.38781575,34.27230047
60014217001,114028,23.94755003,31.74491941
60014217002,131000,35.54216867,36.34116193
